Date;Time;Zenith (refracted);Azimuth angle
01/01/2005;05:00:00;98.7892;118.9772
01/01/2005;06:00:00;86.0717;113.2490
01/01/2005;07:00:00;73.1586;108.7058
01/01/2005;08:00:00;59.8032;105.0219
01/01/2005;09:00:00;46.2206;102.0409
01/01/2005;10:00:00;32.4985;99.8328
01/01/2005;11:00:00;18.7073;99.2268
01/01/2005;12:00:00;5.0691;111.5017
01/01/2005;13:00:00;9.3122;257.1742
01/01/2005;14:00:00;23.0746;260.9290
01/01/2005;15:00:00;36.8542;259.6039
01/01/2005;16:00:00;50.5422;257.1223
01/01/2005;17:00:00;64.0676;253.9276
01/01/2005;18:00:00;77.3275;249.9998
01/01/2005;19:00:00;89.8020;245.1296
01/01/2005;20:00:00;98.9642;240.9905
01/01/2005;21:00:00;98.9642;240.9947
01/01/2005;22:00:00;98.9642;240.9988
01/01/2005;23:00:00;98.9642;241.0030
02/01/2005;00:00:00;98.9642;241.0072
02/01/2005;01:00:00;98.9642;118.9886
02/01/2005;02:00:00;98.9642;118.9844
02/01/2005;03:00:00;98.9642;118.9802
02/01/2005;04:00:00;98.9642;118.9760
02/01/2005;05:00:00;98.9253;118.9511
02/01/2005;06:00:00;86.1989;113.2085
02/01/2005;07:00:00;73.2862;108.6513
02/01/2005;08:00:00;59.9267;104.9500
02/01/2005;09:00:00;46.3395;101.9425
02/01/2005;10:00:00;32.6119;99.6845
02/01/2005;11:00:00;18.8128;98.9463
02/01/2005;12:00:00;5.1426;110.1754
02/01/2005;13:00:00;9.1921;257.6123
02/01/2005;14:00:00;22.9678;261.1577
02/01/2005;15:00:00;36.7551;259.7678
02/01/2005;16:00:00;50.4503;257.2587
02/01/2005;17:00:00;63.9838;254.0520
02/01/2005;18:00:00;77.2533;250.1212
02/01/2005;19:00:00;89.7489;245.2548
02/01/2005;20:00:00;98.9642;241.0939
02/01/2005;21:00:00;98.9642;241.0984
02/01/2005;22:00:00;98.9642;241.1029
02/01/2005;23:00:00;98.9642;241.1075
03/01/2005;00:00:00;98.9642;241.1120
03/01/2005;01:00:00;98.9642;118.8835
03/01/2005;02:00:00;98.9642;118.8789
03/01/2005;03:00:00;98.9642;118.8743
03/01/2005;04:00:00;98.9642;118.8697
03/01/2005;05:00:00;98.9642;118.8651
03/01/2005;06:00:00;86.3274;113.1606
03/01/2005;07:00:00;73.4148;108.5889
03/01/2005;08:00:00;60.0506;104.8695
03/01/2005;09:00:00;46.4582;101.8340
03/01/2005;10:00:00;32.7248;99.5230
03/01/2005;11:00:00;18.9175;98.6457
03/01/2005;12:00:00;5.2154;108.8120
03/01/2005;13:00:00;9.0728;258.1101
03/01/2005;14:00:00;22.8626;261.4077
03/01/2005;15:00:00;36.6581;259.9447
03/01/2005;16:00:00;50.3612;257.4048
03/01/2005;17:00:00;63.9031;254.1844
03/01/2005;18:00:00;77.1826;250.2497
03/01/2005;19:00:00;89.6991;245.3864
03/01/2005;20:00:00;98.9642;241.2059
03/01/2005;21:00:00;98.9642;241.2108
03/01/2005;22:00:00;98.9642;241.2157
03/01/2005;23:00:00;98.9642;241.2205
04/01/2005;00:00:00;98.9642;241.2254
04/01/2005;01:00:00;98.9642;118.7697
04/01/2005;02:00:00;98.9642;118.7647
04/01/2005;03:00:00;98.9642;118.7598
04/01/2005;04:00:00;98.9642;118.7548
04/01/2005;05:00:00;98.9642;118.7498
04/01/2005;06:00:00;86.4573;113.1052
04/01/2005;07:00:00;73.5443;108.5188
04/01/2005;08:00:00;60.1749;104.7804
04/01/2005;09:00:00;46.5769;101.7154
04/01/2005;10:00:00;32.8372;99.3486
04/01/2005;11:00:00;19.0212;98.3254
04/01/2005;12:00:00;5.2878;107.4128
04/01/2005;13:00:00;8.9544;258.6697
04/01/2005;14:00:00;22.7592;261.6790
04/01/2005;15:00:00;36.5635;260.1347
04/01/2005;16:00:00;50.2747;257.5605
04/01/2005;17:00:00;63.8254;254.3247
04/01/2005;18:00:00;77.1155;250.3851
04/01/2005;19:00:00;89.6526;245.5243
04/01/2005;20:00:00;98.9642;241.3265
04/01/2005;21:00:00;98.9642;241.3317
04/01/2005;22:00:00;98.9642;241.3369
04/01/2005;23:00:00;98.9642;241.3422
05/01/2005;00:00:00;98.9642;241.3474
05/01/2005;01:00:00;98.9642;118.6473
05/01/2005;02:00:00;98.9642;118.6420
05/01/2005;03:00:00;98.9642;118.6367
05/01/2005;04:00:00;98.9642;118.6314
05/01/2005;05:00:00;98.9642;118.6261
05/01/2005;06:00:00;86.5882;113.0424
05/01/2005;07:00:00;73.6746;108.4410
05/01/2005;08:00:00;60.2995;104.6829
05/01/2005;09:00:00;46.6954;101.5870
05/01/2005;10:00:00;32.9490;99.1614
05/01/2005;11:00:00;19.1239;97.9858
05/01/2005;12:00:00;5.3600;105.9785
05/01/2005;13:00:00;8.8374;259.2932
05/01/2005;14:00:00;22.6579;261.9719
05/01/2005;15:00:00;36.4713;260.3377
05/01/2005;16:00:00;50.1911;257.7259
05/01/2005;17:00:00;63.7511;254.4729
05/01/2005;18:00:00;77.0521;250.5273
05/01/2005;19:00:00;89.6095;245.6685
05/01/2005;20:00:00;98.9642;241.4556
05/01/2005;21:00:00;98.9642;241.4612
05/01/2005;22:00:00;98.9642;241.4667
05/01/2005;23:00:00;98.9642;241.4723
06/01/2005;00:00:00;98.9642;241.4779
06/01/2005;01:00:00;98.9642;118.5165
06/01/2005;02:00:00;98.9642;118.5108
06/01/2005;03:00:00;98.9642;118.5052
06/01/2005;04:00:00;98.9642;118.4995
06/01/2005;05:00:00;98.9642;118.4938
06/01/2005;06:00:00;86.7202;112.9723
06/01/2005;07:00:00;73.8055;108.3554
06/01/2005;08:00:00;60.4243;104.5770
06/01/2005;09:00:00;46.8137;101.4487
06/01/2005;10:00:00;33.0600;98.9617
