Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
01/01/2005;01:00;0;0;0;1;296.20;88.15;969.48;4.57;71.52;1.052124;0.000000;0.000000
01/01/2005;02:00;1;3;12;5;296.17;88.55;969.83;4.19;73.50;1.237663;0.000000;0.000000
01/01/2005;03:00;32;124;245;5;296.47;87.48;970.36;4.61;75.27;1.494988;0.000000;0.000000
01/01/2005;04:00;61;356;556;2;296.80;86.06;970.71;4.89;74.83;1.910700;0.000000;0.000000
01/01/2005;05:00;109;592;844;5;297.06;85.03;970.92;5.20;72.05;2.299944;0.000000;0.000000
01/01/2005;06:00;267;797;1087;2;297.29;84.11;970.95;5.37;67.41;2.375816;0.000000;0.000000
01/01/2005;07:00;391;953;1269;2;297.48;83.16;970.86;5.34;61.45;2.158343;0.000000;0.000000
01/01/2005;08:00;468;1048;1378;2;297.61;82.50;970.61;5.19;57.63;1.929485;0.000000;0.000000
01/01/2005;09:00;527;1073;1407;2;297.94;80.64;970.32;5.00;56.87;1.440228;0.000000;0.000000
01/01/2005;10:00;381;1027;1354;2;298.30;78.81;969.86;4.84;59.08;1.018139;0.000000;0.000000
01/01/2005;11:00;374;915;1222;2;298.54;77.75;969.41;4.79;62.72;0.750639;0.000000;0.000000
01/01/2005;12:00;253;745;1019;2;298.50;77.70;969.08;4.86;65.33;0.590837;0.000000;0.000000
01/01/2005;13:00;152;530;761;2;298.26;78.74;969.13;4.96;66.27;0.601612;0.000000;0.000000
01/01/2005;14:00;79;293;465;2;297.71;81.84;969.46;5.13;66.48;0.863942;0.000000;0.000000
01/01/2005;15:00;21;72;150;5;297.08;85.13;970.05;5.17;65.57;0.888199;0.000000;0.000000
01/01/2005;16:00;0;0;0;1;296.73;87.05;970.52;5.15;64.53;0.757322;0.000000;0.000000
01/01/2005;17:00;0;0;0;1;296.62;87.76;970.90;5.23;63.84;0.786684;0.000000;0.000000
01/01/2005;18:00;0;0;0;1;296.58;88.09;971.17;5.30;63.38;0.836999;0.000000;0.000000
01/01/2005;19:00;0;0;0;1;296.58;88.20;971.25;5.40;62.43;0.882728;0.000000;0.000000
01/01/2005;20:00;0;0;0;1;296.52;88.45;970.87;5.40;61.61;0.784837;0.000000;0.000000
01/01/2005;21:00;0;0;0;1;296.50;88.61;970.31;5.24;61.05;0.963146;0.000000;0.000000
01/01/2005;22:00;0;0;0;1;296.43;88.71;969.75;4.94;61.37;0.732792;0.000000;0.000000
01/01/2005;23:00;0;0;0;1;296.31;89.20;969.42;4.69;62.30;0.874448;0.000000;0.000000
01/01/2005;24:00:00;0;0;0;1;296.27;89.60;969.29;4.72;64.05;0.957576;0.000000;0.000000
02/01/2005;01:00;0;0;0;1;296.23;89.82;969.24;4.92;66.81;1.031786;0.000000;0.000000
02/01/2005;02:00;1;3;12;5;296.22;89.76;969.45;5.25;70.07;0.811650;0.000000;0.000000
02/01/2005;03:00;50;124;244;5;296.60;88.05;970.04;6.11;71.18;0.953929;0.000000;0.000000
02/01/2005;04:00;135;357;556;5;297.05;85.53;970.42;6.54;69.74;1.145587;0.000000;0.000000
