Date;Time;Zenith (refracted);Azimuth angle
01/01/2005;05:00:00;98.8970;118.9939
01/01/2005;06:00:00;86.1691;113.2790
01/01/2005;07:00:00;73.2538;108.7541
01/01/2005;08:00:00;59.8935;105.0947
01/01/2005;09:00:00;46.3067;102.1486
01/01/2005;10:00:00;32.5813;99.9980
01/01/2005;11:00:00;18.7892;99.5171
01/01/2005;12:00:00;5.1686;112.3076
01/01/2005;13:00:00;9.2710;256.5007
01/01/2005;14:00:00;23.0256;260.6932
01/01/2005;15:00:00;36.8077;259.4796
01/01/2005;16:00:00;50.5005;257.0539
01/01/2005;17:00:00;64.0323;253.8967
01/01/2005;18:00:00;77.3003;249.9989
01/01/2005;19:00:00;89.7875;245.1559
01/01/2005;20:00:00;98.9642;241.0309
01/01/2005;21:00:00;98.9642;241.0350
01/01/2005;22:00:00;98.9642;241.0392
01/01/2005;23:00:00;98.9642;241.0433
02/01/2005;00:00:00;98.9642;241.0475
02/01/2005;01:00:00;98.9642;118.9483
02/01/2005;02:00:00;98.9642;118.9441
02/01/2005;03:00:00;98.9642;118.9399
02/01/2005;04:00:00;98.9642;118.9357
02/01/2005;05:00:00;98.9642;118.9314
02/01/2005;06:00:00;86.2960;113.2383
02/01/2005;07:00:00;73.3812;108.6994
02/01/2005;08:00:00;60.0169;105.0226
02/01/2005;09:00:00;46.4254;102.0500
02/01/2005;10:00:00;32.6945;99.8494
02/01/2005;11:00:00;18.8943;99.2361
02/01/2005;12:00:00;5.2404;110.9954
02/01/2005;13:00:00;9.1501;256.9315
02/01/2005;14:00:00;22.9183;260.9210
02/01/2005;15:00:00;36.7082;259.6431
02/01/2005;16:00:00;50.4084;257.1901
02/01/2005;17:00:00;63.9482;254.0209
02/01/2005;18:00:00;77.2259;250.1202
02/01/2005;19:00:00;89.7342;245.2810
02/01/2005;20:00:00;98.9642;241.1341
02/01/2005;21:00:00;98.9642;241.1386
02/01/2005;22:00:00;98.9642;241.1431
02/01/2005;23:00:00;98.9642;241.1477
03/01/2005;00:00:00;98.9642;241.1522
03/01/2005;01:00:00;98.9642;118.8433
03/01/2005;02:00:00;98.9642;118.8387
03/01/2005;03:00:00;98.9642;118.8341
03/01/2005;04:00:00;98.9642;118.8295
03/01/2005;05:00:00;98.9642;118.8249
03/01/2005;06:00:00;86.4244;113.1902
03/01/2005;07:00:00;73.5098;108.6369
03/01/2005;08:00:00;60.1408;104.9419
03/01/2005;09:00:00;46.5440;101.9413
03/01/2005;10:00:00;32.8071;99.6876
03/01/2005;11:00:00;18.9985;98.9352
03/01/2005;12:00:00;5.3115;109.6462
03/01/2005;13:00:00;9.0297;257.4221
03/01/2005;14:00:00;22.8126;261.1701
03/01/2005;15:00:00;36.6109;259.8197
03/01/2005;16:00:00;50.3189;257.3359
03/01/2005;17:00:00;63.8672;254.1531
03/01/2005;18:00:00;77.1549;250.2485
03/01/2005;19:00:00;89.6841;245.4124
03/01/2005;20:00:00;98.9642;241.2460
03/01/2005;21:00:00;98.9642;241.2509
03/01/2005;22:00:00;98.9642;241.2557
03/01/2005;23:00:00;98.9642;241.2606
04/01/2005;00:00:00;98.9642;241.2655
04/01/2005;01:00:00;98.9642;118.7296
04/01/2005;02:00:00;98.9642;118.7246
04/01/2005;03:00:00;98.9642;118.7197
04/01/2005;04:00:00;98.9642;118.7148
04/01/2005;05:00:00;98.9642;118.7098
04/01/2005;06:00:00;86.5540;113.1347
04/01/2005;07:00:00;73.6392;108.5666
04/01/2005;08:00:00;60.2649;104.8527
04/01/2005;09:00:00;46.6625;101.8226
04/01/2005;10:00:00;32.9192;99.5130
04/01/2005;11:00:00;19.1017;98.6147
04/01/2005;12:00:00;5.3820;108.2607
04/01/2005;13:00:00;8.9102;257.9747
04/01/2005;14:00:00;22.7087;261.4407
04/01/2005;15:00:00;36.5159;260.0094
04/01/2005;16:00:00;50.2321;257.4915
04/01/2005;17:00:00;63.7893;254.2933
04/01/2005;18:00:00;77.0875;250.3837
04/01/2005;19:00:00;89.6372;245.5502
04/01/2005;20:00:00;98.9642;241.3665
04/01/2005;21:00:00;98.9642;241.3717
04/01/2005;22:00:00;98.9642;241.3769
04/01/2005;23:00:00;98.9642;241.3821
05/01/2005;00:00:00;98.9642;241.3874
05/01/2005;01:00:00;98.9642;118.6073
05/01/2005;02:00:00;98.9642;118.6021
05/01/2005;03:00:00;98.9642;118.5968
05/01/2005;04:00:00;98.9642;118.5915
05/01/2005;05:00:00;98.9642;118.5862
05/01/2005;06:00:00;86.6847;113.0718
05/01/2005;07:00:00;73.7693;108.4886
05/01/2005;08:00:00;60.3894;104.7551
05/01/2005;09:00:00;46.7808;101.6940
05/01/2005;10:00:00;33.0307;99.3257
05/01/2005;11:00:00;19.2039;98.2750
05/01/2005;12:00:00;5.4524;106.8401
05/01/2005;13:00:00;8.7920;258.5916
05/01/2005;14:00:00;22.6069;261.7329
05/01/2005;15:00:00;36.4233;260.2122
05/01/2005;16:00:00;50.1481;257.6567
05/01/2005;17:00:00;63.7147;254.4413
05/01/2005;18:00:00;77.0239;250.5258
05/01/2005;19:00:00;89.5939;245.6943
05/01/2005;20:00:00;98.9642;241.4954
05/01/2005;21:00:00;98.9642;241.5010
05/01/2005;22:00:00;98.9642;241.5065
05/01/2005;23:00:00;98.9642;241.5121
06/01/2005;00:00:00;98.9642;241.5177
06/01/2005;01:00:00;98.9642;118.4766
06/01/2005;02:00:00;98.9642;118.4710
06/01/2005;03:00:00;98.9642;118.4654
06/01/2005;04:00:00;98.9642;118.4597
06/01/2005;05:00:00;98.9642;118.4541
06/01/2005;06:00:00;86.8165;113.0014
06/01/2005;07:00:00;73.9002;108.4029
06/01/2005;08:00:00;60.5140;104.6490
06/01/2005;09:00:00;46.8988;101.5556
06/01/2005;10:00:00;33.1414;99.1258
06/01/2005;11:00:00;19.3052;97.9165
06/01/2005;12:00:00;5.5228;105.3855
06/01/2005;13:00:00;8.6754;259.2747
06/01/2005;14:00:00;22.5072;262.0467
06/01/2005;15:00:00;36.3333;260.4279
06/01/2005;16:00:00;50.0671;257.8314
06/01/2005;17:00:00;63.6434;254.5971
06/01/2005;18:00:00;76.9640;250.6746
06/01/2005;19:00:00;89.5541;245.8445
06/01/2005;20:00:00;98.9642;241.6328
06/01/2005;21:00:00;98.9642;241.6387
06/01/2005;22:00:00;98.9642;241.6446
06/01/2005;23:00:00;98.9642;241.6505
07/01/2005;00:00:00;98.9642;241.6565
07/01/2005;01:00:00;98.9642;118.3376
07/01/2005;02:00:00;98.9642;118.3316
07/01/2005;03:00:00;98.9642;118.3256
07/01/2005;04:00:00;98.9642;118.3196
07/01/2005;05:00:00;98.9642;118.3136
07/01/2005;06:00:00;86.9491;112.9237
07/01/2005;07:00:00;74.0316;108.3095
07/01/2005;08:00:00;60.6386;104.5345
07/01/2005;09:00:00;47.0165;101.4075
07/01/2005;10:00:00;33.2515;98.9136
07/01/2005;11:00:00;19.4056;97.5395
07/01/2005;12:00:00;5.5935;103.8985
07/01/2005;13:00:00;8.5608;260.0262
07/01/2005;14:00:00;22.4100;262.3822
07/01/2005;15:00:00;36.2460;260.6566
07/01/2005;16:00:00;49.9892;258.0155
07/01/2005;17:00:00;63.5755;254.7607
07/01/2005;18:00:00;76.9079;250.8302
07/01/2005;19:00:00;89.5178;246.0008
07/01/2005;20:00:00;98.9642;241.7785
07/01/2005;21:00:00;98.9642;241.7847
07/01/2005;22:00:00;98.9642;241.7910
07/01/2005;23:00:00;98.9642;241.7973
08/01/2005;00:00:00;98.9642;241.8035
08/01/2005;01:00:00;98.9642;118.1901
08/01/2005;02:00:00;98.9642;118.1838
08/01/2005;03:00:00;98.9642;118.1775
08/01/2005;04:00:00;98.9642;118.1711
08/01/2005;05:00:00;98.9642;118.1648
