Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
01/01/2005;01:00;0;0;0;1;296.77;87.10;974.72;4.52;65.31;1.183612;0.000000;0.000000
01/01/2005;02:00;2;3;11;5;296.74;87.44;975.09;4.08;64.57;1.509923;0.000000;0.000000
01/01/2005;03:00;68;119;243;5;296.98;86.59;975.62;4.30;65.46;1.996893;0.000000;0.000000
01/01/2005;04:00;205;347;555;5;297.26;85.43;976.00;4.47;64.96;2.561586;0.000000;0.000000
01/01/2005;05:00;333;582;843;5;297.47;84.67;976.25;4.74;62.66;3.007347;0.000000;0.000000
01/01/2005;06:00;450;786;1086;2;297.64;84.06;976.31;4.93;57.99;3.066804;0.000000;0.000000
01/01/2005;07:00;481;941;1269;2;297.77;83.46;976.24;5.00;51.57;2.747496;0.000000;0.000000
01/01/2005;08:00;454;1035;1378;2;297.87;82.99;975.97;4.95;48.11;2.360881;0.000000;0.000000
01/01/2005;09:00;522;1060;1407;2;298.16;81.18;975.66;4.83;48.73;1.733600;0.000000;0.000000
01/01/2005;10:00;217;1015;1354;2;298.50;79.32;975.16;4.68;52.82;1.121197;0.000000;0.000000
01/01/2005;11:00;158;903;1221;2;298.76;78.01;974.66;4.61;56.85;0.717844;0.000000;0.000000
01/01/2005;12:00;132;734;1019;2;298.76;77.74;974.35;4.64;58.86;0.512817;0.000000;0.000000
01/01/2005;13:00;100;521;760;2;298.54;78.61;974.41;4.71;58.92;0.491982;0.000000;0.000000
01/01/2005;14:00;63;285;463;2;298.03;81.38;974.77;4.86;58.72;0.716851;0.000000;0.000000
01/01/2005;15:00;20;69;148;5;297.45;84.52;975.37;4.94;58.29;0.772900;0.000000;0.000000
01/01/2005;16:00;0;0;0;1;297.11;86.50;975.83;4.99;58.57;0.672520;0.000000;0.000000
01/01/2005;17:00;0;0;0;1;297.02;87.27;976.19;5.14;59.31;0.705139;0.000000;0.000000
01/01/2005;18:00;0;0;0;1;297.00;87.50;976.45;5.30;59.46;0.733854;0.000000;0.000000
01/01/2005;19:00;0;0;0;1;297.02;87.51;976.52;5.47;58.73;0.761463;0.000000;0.000000
01/01/2005;20:00;0;0;0;1;296.99;87.63;976.12;5.50;57.82;0.664867;0.000000;0.000000
01/01/2005;21:00;0;0;0;1;296.99;87.67;975.56;5.33;57.11;0.816290;0.000000;0.000000
01/01/2005;22:00;0;0;0;1;296.92;87.74;975.00;5.02;57.02;0.601965;0.000000;0.000000
01/01/2005;23:00;0;0;0;1;296.81;88.19;974.67;4.78;57.85;0.730108;0.000000;0.000000
01/01/2005;24:00:00;0;0;0;1;296.75;88.61;974.49;4.80;60.21;0.799690;0.000000;0.000000
02/01/2005;01:00;0;0;0;1;296.72;88.90;974.45;4.99;63.56;0.867840;0.000000;0.000000
02/01/2005;02:00;1;3;10;5;296.72;88.84;974.62;5.26;66.92;0.678945;0.000000;0.000000
02/01/2005;03:00;35;114;237;5;297.06;87.35;975.23;6.02;68.34;0.816715;0.000000;0.000000
02/01/2005;04:00;83;341;550;5;297.46;85.27;975.64;6.42;66.20;1.005450;0.000000;0.000000
02/01/2005;05:00;118;576;838;5;297.96;82.80;975.85;6.76;62.74;1.090097;0.000000;0.000000
02/01/2005;06:00;162;782;1082;2;298.24;81.63;975.85;6.94;59.15;1.163664;0.000000;0.000000
02/01/2005;07:00;330;939;1266;2;298.44;80.86;975.60;7.02;56.21;1.089443;0.000000;0.000000
02/01/2005;08:00;530;1035;1377;2;298.53;80.45;975.15;6.93;53.55;1.089545;0.000000;0.000000
02/01/2005;09:00;553;1062;1408;2;298.58;80.52;974.69;6.74;51.56;0.997991;0.000000;0.000000
02/01/2005;10:00;358;1018;1355;2;298.60;80.52;974.14;6.52;50.33;0.959742;0.000000;0.000000
02/01/2005;11:00;362;906;1224;2;298.46;81.01;973.71;6.27;49.29;0.927776;0.000000;0.000000
02/01/2005;12:00;223;736;1022;2;298.30;81.26;973.35;6.03;49.11;0.834981;0.000000;0.000000
02/01/2005;13:00;108;522;764;2;297.98;82.25;973.23;5.77;49.74;0.731864;0.000000;0.000000
02/01/2005;14:00;66;286;468;2;297.58;83.67;973.49;5.58;51.51;0.682578;0.000000;0.000000
02/01/2005;15:00;20;69;153;5;297.17;85.06;974.04;5.48;54.07;0.569835;0.000000;0.000000
02/01/2005;16:00;0;0;0;1;296.83;86.48;974.56;5.52;55.50;0.513232;0.000000;0.000000
