Date;Time;Zenith (refracted);Azimuth angle
01/01/2005;05:00:00;98.9642;118.9505
01/01/2005;06:00:00;86.4100;113.3574
01/01/2005;07:00:00;73.4942;108.8642
01/01/2005;08:00:00;60.1258;105.2495
01/01/2005;09:00:00;46.5315;102.3685
01/01/2005;10:00:00;32.8003;100.3250
01/01/2005;11:00:00;19.0072;100.0715
01/01/2005;12:00:00;5.4184;113.5813
01/01/2005;13:00:00;9.1390;255.0937
01/01/2005;14:00:00;22.8747;260.2262
01/01/2005;15:00:00;36.6611;259.2419
01/01/2005;16:00:00;50.3636;256.9300
01/01/2005;17:00:00;63.9087;253.8493
01/01/2005;18:00:00;77.1938;250.0139
01/01/2005;19:00:00;89.7154;245.2288
01/01/2005;20:00:00;98.9642;241.1095
01/01/2005;21:00:00;98.9642;241.1136
01/01/2005;22:00:00;98.9642;241.1178
01/01/2005;23:00:00;98.9642;241.1219
02/01/2005;00:00:00;98.9642;241.1261
02/01/2005;01:00:00;98.9642;118.8697
02/01/2005;02:00:00;98.9642;118.8655
02/01/2005;03:00:00;98.9642;118.8613
02/01/2005;04:00:00;98.9642;118.8571
02/01/2005;05:00:00;98.9642;118.8529
02/01/2005;06:00:00;86.5365;113.3165
02/01/2005;07:00:00;73.6216;108.8092
02/01/2005;08:00:00;60.2490;105.1772
02/01/2005;09:00:00;46.6499;102.2696
02/01/2005;10:00:00;32.9130;100.1761
02/01/2005;11:00:00;19.1115;99.7908
02/01/2005;12:00:00;5.4877;112.3128
02/01/2005;13:00:00;9.0164;255.5104
02/01/2005;14:00:00;22.7665;260.4526
02/01/2005;15:00:00;36.5610;259.4048
02/01/2005;16:00:00;50.2710;257.0657
02/01/2005;17:00:00;63.8241;253.9733
02/01/2005;18:00:00;77.1188;250.1349
02/01/2005;19:00:00;89.6612;245.3536
02/01/2005;20:00:00;98.9642;241.2126
02/01/2005;21:00:00;98.9642;241.2170
02/01/2005;22:00:00;98.9642;241.2215
02/01/2005;23:00:00;98.9642;241.2260
03/01/2005;00:00:00;98.9642;241.2306
03/01/2005;01:00:00;98.9642;118.7649
03/01/2005;02:00:00;98.9642;118.7603
03/01/2005;03:00:00;98.9642;118.7558
03/01/2005;04:00:00;98.9642;118.7512
03/01/2005;05:00:00;98.9642;118.7466
03/01/2005;06:00:00;86.6643;113.2682
03/01/2005;07:00:00;73.7500;108.7465
03/01/2005;08:00:00;60.3727;105.0963
03/01/2005;09:00:00;46.7682;102.1607
03/01/2005;10:00:00;33.0252;100.0143
03/01/2005;11:00:00;19.2147;99.4903
03/01/2005;12:00:00;5.5560;111.0072
03/01/2005;13:00:00;8.8940;255.9876
03/01/2005;14:00:00;22.6598;260.7005
03/01/2005;15:00:00;36.4630;259.5809
03/01/2005;16:00:00;50.1809;257.2113
03/01/2005;17:00:00;63.7425;254.1052
03/01/2005;18:00:00;77.0473;250.2629
03/01/2005;19:00:00;89.6103;245.4848
03/01/2005;20:00:00;98.9642;241.3242
03/01/2005;21:00:00;98.9642;241.3290
03/01/2005;22:00:00;98.9642;241.3339
03/01/2005;23:00:00;98.9642;241.3388
04/01/2005;00:00:00;98.9642;241.3437
04/01/2005;01:00:00;98.9642;118.6515
04/01/2005;02:00:00;98.9642;118.6465
04/01/2005;03:00:00;98.9642;118.6416
04/01/2005;04:00:00;98.9642;118.6367
04/01/2005;05:00:00;98.9642;118.6317
04/01/2005;06:00:00;86.7934;113.2124
04/01/2005;07:00:00;73.8792;108.6760
04/01/2005;08:00:00;60.4966;105.0068
04/01/2005;09:00:00;46.8864;102.0418
04/01/2005;10:00:00;33.1368;99.8396
04/01/2005;11:00:00;19.3170;99.1705
04/01/2005;12:00:00;5.6236;109.6655
04/01/2005;13:00:00;8.7723;256.5278
04/01/2005;14:00:00;22.5548;260.9700
04/01/2005;15:00:00;36.3672;259.7702
04/01/2005;16:00:00;50.0935;257.3665
04/01/2005;17:00:00;63.6640;254.2451
04/01/2005;18:00:00;76.9793;250.3979
04/01/2005;19:00:00;89.5627;245.6223
04/01/2005;20:00:00;98.9642;241.4444
04/01/2005;21:00:00;98.9642;241.4496
04/01/2005;22:00:00;98.9642;241.4548
04/01/2005;23:00:00;98.9642;241.4600
05/01/2005;00:00:00;98.9642;241.4653
05/01/2005;01:00:00;98.9642;118.5295
05/01/2005;02:00:00;98.9642;118.5242
05/01/2005;03:00:00;98.9642;118.5189
05/01/2005;04:00:00;98.9642;118.5136
05/01/2005;05:00:00;98.9642;118.5083
05/01/2005;06:00:00;86.9235;113.1492
05/01/2005;07:00:00;74.0091;108.5978
05/01/2005;08:00:00;60.6208;104.9090
05/01/2005;09:00:00;47.0044;101.9131
05/01/2005;10:00:00;33.2477;99.6523
05/01/2005;11:00:00;19.4182;98.8316
05/01/2005;12:00:00;5.6907;108.2885
05/01/2005;13:00:00;8.6516;257.1332
05/01/2005;14:00:00;22.4518;261.2614
05/01/2005;15:00:00;36.2738;259.9726
05/01/2005;16:00:00;50.0088;257.5315
05/01/2005;17:00:00;63.5887;254.3929
05/01/2005;18:00:00;76.9150;250.5397
05/01/2005;19:00:00;89.5185;245.7661
05/01/2005;20:00:00;98.9642;241.5731
05/01/2005;21:00:00;98.9642;241.5786
05/01/2005;22:00:00;98.9642;241.5842
05/01/2005;23:00:00;98.9642;241.5898
06/01/2005;00:00:00;98.9642;241.5953
06/01/2005;01:00:00;98.9642;118.3990
06/01/2005;02:00:00;98.9642;118.3934
06/01/2005;03:00:00;98.9642;118.3878
06/01/2005;04:00:00;98.9642;118.3822
06/01/2005;05:00:00;98.9642;118.3765
06/01/2005;06:00:00;87.0546;113.0786
06/01/2005;07:00:00;74.1398;108.5118
06/01/2005;08:00:00;60.7451;104.8027
06/01/2005;09:00:00;47.1220;101.7746
06/01/2005;10:00:00;33.3579;99.4525
06/01/2005;11:00:00;19.5185;98.4742
06/01/2005;12:00:00;5.7577;106.8769
06/01/2005;13:00:00;8.5322;257.8061
06/01/2005;14:00:00;22.3510;261.5745
06/01/2005;15:00:00;36.1829;260.1880
06/01/2005;16:00:00;49.9271;257.7060
06/01/2005;17:00:00;63.5168;254.5485
06/01/2005;18:00:00;76.8545;250.6884
06/01/2005;19:00:00;89.4779;245.9161
06/01/2005;20:00:00;98.9642;241.7101
06/01/2005;21:00:00;98.9642;241.7160
06/01/2005;22:00:00;98.9642;241.7220
06/01/2005;23:00:00;98.9642;241.7279
07/01/2005;00:00:00;98.9642;241.7338
07/01/2005;01:00:00;98.9642;118.2602
07/01/2005;02:00:00;98.9642;118.2543
07/01/2005;03:00:00;98.9642;118.2483
07/01/2005;04:00:00;98.9642;118.2423
07/01/2005;05:00:00;98.9642;118.2363
07/01/2005;06:00:00;87.1865;113.0006
07/01/2005;07:00:00;74.2710;108.4183
07/01/2005;08:00:00;60.8695;104.6881
07/01/2005;09:00:00;47.2392;101.6264
07/01/2005;10:00:00;33.4674;99.2404
07/01/2005;11:00:00;19.6178;98.0985
07/01/2005;12:00:00;5.8247;105.4323
07/01/2005;13:00:00;8.4146;258.5489
07/01/2005;14:00:00;22.2524;261.9096
07/01/2005;15:00:00;36.0948;260.4165
07/01/2005;16:00:00;49.8484;257.8900
07/01/2005;17:00:00;63.4483;254.7119
07/01/2005;18:00:00;76.7978;250.8437
07/01/2005;19:00:00;89.4408;246.0722
07/01/2005;20:00:00;98.9642;241.8555
07/01/2005;21:00:00;98.9642;241.8618
07/01/2005;22:00:00;98.9642;241.8680
07/01/2005;23:00:00;98.9642;241.8743
08/01/2005;00:00:00;98.9642;241.8806
08/01/2005;01:00:00;98.9642;118.1131
08/01/2005;02:00:00;98.9642;118.1068
08/01/2005;03:00:00;98.9642;118.1005
08/01/2005;04:00:00;98.9642;118.0942
08/01/2005;05:00:00;98.9642;118.0878
08/01/2005;06:00:00;87.3191;112.9153
08/01/2005;07:00:00;74.4027;108.3170
08/01/2005;08:00:00;60.9938;104.5653
08/01/2005;09:00:00;47.3560;101.4687
08/01/2005;10:00:00;33.5761;99.0162
08/01/2005;11:00:00;19.7161;97.7050
08/01/2005;12:00:00;5.8922;103.9555
08/01/2005;13:00:00;8.2991;259.3638
08/01/2005;14:00:00;22.1565;262.2666
08/01/2005;15:00:00;36.0095;260.6580
08/01/2005;16:00:00;49.7729;258.0834
08/01/2005;17:00:00;63.3833;254.8828
08/01/2005;18:00:00;76.7450;251.0057
08/01/2005;19:00:00;89.4076;246.2343
08/01/2005;20:00:00;98.9642;242.0092
08/01/2005;21:00:00;98.9642;242.0157
08/01/2005;22:00:00;98.9642;242.0223
08/01/2005;23:00:00;98.9642;242.0289
09/01/2005;00:00:00;98.9642;242.0356
09/01/2005;01:00:00;98.9642;117.9578
09/01/2005;02:00:00;98.9642;117.9512
09/01/2005;03:00:00;98.9642;117.9445
09/01/2005;04:00:00;98.9642;117.9378
09/01/2005;05:00:00;98.9642;117.9311
09/01/2005;06:00:00;87.4521;112.8225
09/01/2005;07:00:00;74.5347;108.2083
09/01/2005;08:00:00;61.1180;104.4343
09/01/2005;09:00:00;47.4723;101.3016
09/01/2005;10:00:00;33.6840;98.7801
09/01/2005;11:00:00;19.8135;97.2940
09/01/2005;12:00:00;5.9605;102.4479
09/01/2005;13:00:00;8.1864;260.2531
09/01/2005;14:00:00;22.0634;262.6456
09/01/2005;15:00:00;35.9272;260.9123
09/01/2005;16:00:00;49.7007;258.2862
09/01/2005;17:00:00;63.3219;255.0613
09/01/2005;18:00:00;76.6963;251.1742
09/01/2005;19:00:00;89.3780;246.4023
09/01/2005;20:00:00;98.9642;242.1709
09/01/2005;21:00:00;98.9642;242.1779
09/01/2005;22:00:00;98.9642;242.1848
09/01/2005;23:00:00;98.9642;242.1917
10/01/2005;00:00:00;98.9642;242.1987
10/01/2005;01:00:00;98.9642;117.7943
10/01/2005;02:00:00;98.9642;117.7874
10/01/2005;03:00:00;98.9642;117.7804
10/01/2005;04:00:00;98.9642;117.7733
10/01/2005;05:00:00;98.9642;117.7663
10/01/2005;06:00:00;87.5857;112.7225
10/01/2005;07:00:00;74.6671;108.0920
10/01/2005;08:00:00;61.2421;104.2952
10/01/2005;09:00:00;47.5880;101.1251
10/01/2005;10:00:00;33.7911;98.5323
10/01/2005;11:00:00;19.9101;96.8658
10/01/2005;12:00:00;6.0297;100.9109
10/01/2005;13:00:00;8.0770;261.2185
10/01/2005;14:00:00;21.9733;263.0464
10/01/2005;15:00:00;35.8480;261.1794
10/01/2005;16:00:00;49.6320;258.4981
10/01/2005;17:00:00;63.2644;255.2472
10/01/2005;18:00:00;76.6515;251.3491
10/01/2005;19:00:00;89.3524;246.5761
