Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
01/01/2005;01:00;0;0;0;1;298.07;82.97;989.68;4.49;69.57;0.654637;0.000000;0.000000
01/01/2005;02:00;1;3;11;5;298.00;83.46;990.14;4.15;71.14;0.844170;0.000000;0.000000
01/01/2005;03:00;49;130;240;5;298.09;83.38;990.69;4.26;72.64;1.149400;0.000000;0.000000
01/01/2005;04:00;137;368;552;5;298.21;82.96;991.09;4.36;72.90;1.433109;0.000000;0.000000
01/01/2005;05:00;208;606;839;5;298.35;82.52;991.33;4.56;70.64;1.531028;0.000000;0.000000
01/01/2005;06:00;281;814;1083;2;298.49;82.07;991.39;4.64;65.61;1.477002;0.000000;0.000000
01/01/2005;07:00;437;972;1267;2;298.61;81.59;991.31;4.62;59.00;1.287500;0.000000;0.000000
01/01/2005;08:00;558;1068;1377;2;298.70;81.23;991.02;4.52;55.09;1.126196;0.000000;0.000000
01/01/2005;09:00;557;1095;1408;2;298.94;79.82;990.70;4.38;55.76;0.846963;0.000000;0.000000
01/01/2005;10:00;551;1050;1356;2;299.23;78.21;990.18;4.15;59.74;0.609287;0.000000;0.000000
01/01/2005;11:00;267;937;1224;2;299.46;76.91;989.68;3.96;63.95;0.453437;0.000000;0.000000
01/01/2005;12:00;143;765;1024;2;299.53;76.54;989.33;3.92;66.19;0.356652;0.000000;0.000000
01/01/2005;13:00;106;549;766;2;299.41;77.11;989.35;4.00;65.85;0.370552;0.000000;0.000000
01/01/2005;14:00;71;309;470;2;299.07;79.03;989.70;4.18;64.44;0.500809;0.000000;0.000000
01/01/2005;15:00;24;80;156;2;298.66;81.37;990.29;4.41;62.32;0.512840;0.000000;0.000000
01/01/2005;16:00;0;0;0;1;298.41;82.85;990.78;4.63;61.14;0.456841;0.000000;0.000000
01/01/2005;17:00;0;0;0;1;298.33;83.42;991.12;4.91;61.20;0.448113;0.000000;0.000000
01/01/2005;18:00;0;0;0;1;298.31;83.67;991.36;5.17;61.74;0.453033;0.000000;0.000000
01/01/2005;19:00;0;0;0;1;298.32;83.81;991.41;5.38;61.86;0.466030;0.000000;0.000000
01/01/2005;20:00;0;0;0;1;298.30;83.90;991.01;5.42;61.49;0.417655;0.000000;0.000000
01/01/2005;21:00;0;0;0;1;298.29;83.89;990.47;5.27;60.89;0.521807;0.000000;0.000000
01/01/2005;22:00;0;0;0;1;298.24;83.86;989.90;4.98;60.72;0.419065;0.000000;0.000000
01/01/2005;23:00;0;0;0;1;298.17;84.11;989.54;4.78;61.14;0.503883;0.000000;0.000000
01/01/2005;24:00:00;0;0;0;1;298.13;84.37;989.36;4.75;63.08;0.541785;0.000000;0.000000
02/01/2005;01:00;0;0;0;1;298.10;84.58;989.30;4.86;66.46;0.583942;0.000000;0.000000
02/01/2005;02:00;1;3;10;5;298.10;84.61;989.50;5.09;70.14;0.462178;0.000000;0.000000
02/01/2005;03:00;44;130;240;5;298.32;83.78;990.08;5.71;71.35;0.532596;0.000000;0.000000
02/01/2005;04:00;116;367;551;5;298.61;82.19;990.47;6.01;69.40;0.631051;0.000000;0.000000
02/01/2005;05:00;170;607;839;5;299.00;80.12;990.65;6.28;66.03;0.656206;0.000000;0.000000
02/01/2005;06:00;294;815;1083;2;299.26;78.83;990.61;6.43;62.44;0.688831;0.000000;0.000000
02/01/2005;07:00;670;974;1267;2;299.45;78.03;990.37;6.51;59.57;0.643850;0.000000;0.000000
02/01/2005;08:00;617;1071;1377;2;299.56;77.52;989.92;6.45;57.22;0.635093;0.000000;0.000000
02/01/2005;09:00;552;1097;1408;2;299.61;77.46;989.46;6.31;55.49;0.585169;0.000000;0.000000
02/01/2005;10:00;290;1052;1356;2;299.62;77.46;988.93;6.12;54.25;0.563022;0.000000;0.000000
02/01/2005;11:00;198;939;1224;2;299.51;77.78;988.48;5.86;52.71;0.548189;0.000000;0.000000
02/01/2005;12:00;170;766;1023;2;299.39;77.98;988.06;5.63;52.11;0.498127;0.000000;0.000000
02/01/2005;13:00;164;549;766;2;299.15;78.73;987.97;5.48;52.62;0.435258;0.000000;0.000000
02/01/2005;14:00;71;307;470;2;298.85;79.86;988.27;5.45;54.19;0.409445;0.000000;0.000000
02/01/2005;15:00;23;79;155;2;298.53;81.00;988.83;5.53;56.19;0.341445;0.000000;0.000000
02/01/2005;16:00;0;0;0;1;298.25;82.11;989.34;5.77;57.03;0.297595;0.000000;0.000000
02/01/2005;17:00;0;0;0;1;298.11;82.86;989.68;6.15;56.76;0.311143;0.000000;0.000000
02/01/2005;18:00;0;0;0;1;298.08;83.32;989.95;6.44;55.89;0.336859;0.000000;0.000000
02/01/2005;19:00;0;0;0;1;298.10;83.46;990.03;6.57;54.29;0.322512;0.000000;0.000000
02/01/2005;20:00;0;0;0;1;298.10;83.74;989.65;6.50;52.17;0.373918;0.000000;0.000000
02/01/2005;21:00;0;0;0;1;298.07;84.01;989.19;6.28;49.92;0.425217;0.000000;0.000000
02/01/2005;22:00;0;0;0;1;298.05;84.15;988.78;5.91;49.04;0.394619;0.000000;0.000000
02/01/2005;23:00;0;0;0;1;298.05;84.10;988.47;5.57;49.19;0.438587;0.000000;0.000000
02/01/2005;24:00:00;0;0;0;1;298.06;84.10;988.33;5.33;49.66;0.452685;0.000000;0.000000
03/01/2005;01:00;0;0;0;1;298.08;84.03;988.27;5.29;50.77;0.426724;0.000000;0.000000
03/01/2005;02:00;1;3;9;5;298.10;84.04;988.55;5.40;52.31;0.356243;0.000000;0.000000
03/01/2005;03:00;36;129;234;5;298.37;83.11;988.98;5.95;53.51;0.462342;0.000000;0.000000
03/01/2005;04:00;84;367;546;5;298.67;81.78;989.32;6.41;52.37;0.480044;0.000000;0.000000
03/01/2005;05:00;118;605;834;2;298.99;80.42;989.55;6.93;49.38;0.482351;0.000000;0.000000
03/01/2005;06:00;180;813;1079;2;299.34;79.03;989.62;7.28;45.74;0.507294;0.000000;0.000000
03/01/2005;07:00;416;971;1264;2;299.60;78.08;989.50;7.46;42.19;0.493701;0.000000;0.000000
