Date;Time;Zenith (refracted);Azimuth angle
01/01/2005;05:00:00;98.9642;119.0542
01/01/2005;06:00:00;86.4529;113.4019
01/01/2005;07:00:00;73.5627;108.8378
01/01/2005;08:00:00;60.2135;105.1422
01/01/2005;09:00:00;46.6343;102.1553
01/01/2005;10:00:00;32.9138;99.9425
01/01/2005;11:00:00;19.1230;99.3050
01/01/2005;12:00:00;5.4704;110.4472
01/01/2005;13:00:00;8.9171;256.5097
01/01/2005;14:00:00;22.6713;260.8428
01/01/2005;15:00:00;36.4533;259.6127
01/01/2005;16:00:00;50.1466;257.1752
01/01/2005;17:00:00;63.6801;254.0139
01/01/2005;18:00:00;76.9527;250.1202
01/01/2005;19:00:00;89.4957;245.2910
01/01/2005;20:00:00;98.9642;241.0060
01/01/2005;21:00:00;98.9642;241.0101
01/01/2005;22:00:00;98.9642;241.0143
01/01/2005;23:00:00;98.9642;241.0184
01/02/2005;00:00:00;98.9642;241.0226
01/02/2005;01:00:00;98.9642;118.9732
01/02/2005;02:00:00;98.9642;118.9690
01/02/2005;03:00:00;98.9642;118.9648
01/02/2005;04:00:00;98.9642;118.9605
01/02/2005;05:00:00;98.9642;118.9563
01/02/2005;06:00:00;86.5795;113.3617
01/02/2005;07:00:00;73.6903;108.7836
01/02/2005;08:00:00;60.3371;105.0708
01/02/2005;09:00:00;46.7532;102.0577
01/02/2005;10:00:00;33.0273;99.7960
01/02/2005;11:00:00;19.2287;99.0308
01/02/2005;12:00:00;5.5463;109.2334
01/02/2005;13:00:00;8.7961;256.9559
01/02/2005;14:00:00;22.5640;261.0740
01/02/2005;15:00:00;36.3539;259.7775
01/02/2005;16:00:00;50.0545;257.3120
01/02/2005;17:00:00;63.5960;254.1385
01/02/2005;18:00:00;76.8781;250.2415
01/02/2005;19:00:00;89.4409;245.4159
01/02/2005;20:00:00;98.9642;241.1093
01/02/2005;21:00:00;98.9642;241.1138
01/02/2005;22:00:00;98.9642;241.1183
01/02/2005;23:00:00;98.9642;241.1228
01/03/2005;00:00:00;98.9642;241.1274
01/03/2005;01:00:00;98.9642;118.8681
01/03/2005;02:00:00;98.9642;118.8635
01/03/2005;03:00:00;98.9642;118.8589
01/03/2005;04:00:00;98.9642;118.8543
01/03/2005;05:00:00;98.9642;118.8497
01/03/2005;06:00:00;86.7075;113.3141
01/03/2005;07:00:00;73.8190;108.7217
01/03/2005;08:00:00;60.4612;104.9908
01/03/2005;09:00:00;46.8721;101.9501
01/03/2005;10:00:00;33.1403;99.6366
01/03/2005;11:00:00;19.3334;98.7369
01/03/2005;12:00:00;5.6213;107.9826
01/03/2005;13:00:00;8.6756;257.4648
01/03/2005;14:00:00;22.4583;261.3270
01/03/2005;15:00:00;36.2565;259.9556
01/03/2005;16:00:00;49.9649;257.4586
01/03/2005;17:00:00;63.5149;254.2710
01/03/2005;18:00:00;76.8070;250.3699
01/03/2005;19:00:00;89.3894;245.5473
01/03/2005;20:00:00;98.9642;241.2213
01/03/2005;21:00:00;98.9642;241.2261
01/03/2005;22:00:00;98.9642;241.2310
01/03/2005;23:00:00;98.9642;241.2359
01/04/2005;00:00:00;98.9642;241.2408
01/04/2005;01:00:00;98.9642;118.7543
01/04/2005;02:00:00;98.9642;118.7494
01/04/2005;03:00:00;98.9642;118.7444
01/04/2005;04:00:00;98.9642;118.7395
01/04/2005;05:00:00;98.9642;118.7345
01/04/2005;06:00:00;86.8368;113.2590
01/04/2005;07:00:00;73.9486;108.6519
01/04/2005;08:00:00;60.5855;104.9023
01/04/2005;09:00:00;46.9908;101.8326
01/04/2005;10:00:00;33.2528;99.4643
01/04/2005;11:00:00;19.4373;98.4236
01/04/2005;12:00:00;5.6958;106.6958
01/04/2005;13:00:00;8.5560;258.0388
01/04/2005;14:00:00;22.3545;261.6017
01/04/2005;15:00:00;36.1615;260.1469
01/04/2005;16:00:00;49.8781;257.6149
01/04/2005;17:00:00;63.4369;254.4116
01/04/2005;18:00:00;76.7395;250.5053
01/04/2005;19:00:00;89.3413;245.6850
01/04/2005;20:00:00;98.9642;241.3418
01/04/2005;21:00:00;98.9642;241.3470
01/04/2005;22:00:00;98.9642;241.3522
01/04/2005;23:00:00;98.9642;241.3575
01/05/2005;00:00:00;98.9642;241.3627
01/05/2005;01:00:00;98.9642;118.6320
01/05/2005;02:00:00;98.9642;118.6267
01/05/2005;03:00:00;98.9642;118.6214
01/05/2005;04:00:00;98.9642;118.6161
01/05/2005;05:00:00;98.9642;118.6108
01/05/2005;06:00:00;86.9671;113.1966
01/05/2005;07:00:00;74.0790;108.5745
01/05/2005;08:00:00;60.7103;104.8054
01/05/2005;09:00:00;47.1094;101.7052
01/05/2005;10:00:00;33.3646;99.2794
01/05/2005;11:00:00;19.5401;98.0913
01/05/2005;12:00:00;5.7700;105.3742
01/05/2005;13:00:00;8.4377;258.6804
01/05/2005;14:00:00;22.2527;261.8985
01/05/2005;15:00:00;36.0690;260.3513
01/05/2005;16:00:00;49.7941;257.7809
01/05/2005;17:00:00;63.3621;254.5600
01/05/2005;18:00:00;76.6757;250.6475
01/05/2005;19:00:00;89.2968;245.8290
01/05/2005;20:00:00;98.9642;241.4708
01/05/2005;21:00:00;98.9642;241.4764
01/05/2005;22:00:00;98.9642;241.4820
01/05/2005;23:00:00;98.9642;241.4875
01/06/2005;00:00:00;98.9642;241.4932
01/06/2005;01:00:00;98.9642;118.5012
01/06/2005;02:00:00;98.9642;118.4956
01/06/2005;03:00:00;98.9642;118.4899
01/06/2005;04:00:00;98.9642;118.4843
01/06/2005;05:00:00;98.9642;118.4786
01/06/2005;06:00:00;87.0984;113.1267
01/06/2005;07:00:00;74.2101;108.4893
01/06/2005;08:00:00;60.8351;104.7000
01/06/2005;09:00:00;47.2278;101.5680
01/06/2005;10:00:00;33.4758;99.0821
01/06/2005;11:00:00;19.6422;97.7405
01/06/2005;12:00:00;5.8442;104.0188
01/06/2005;13:00:00;8.3210;259.3917
01/06/2005;14:00:00;22.1531;262.2172
01/06/2005;15:00:00;35.9790;260.5689
01/06/2005;16:00:00;49.7130;257.9565
01/06/2005;17:00:00;63.2908;254.7162
01/06/2005;18:00:00;76.6156;250.7965
01/06/2005;19:00:00;89.2560;245.9791
01/06/2005;20:00:00;98.9642;241.6083
01/06/2005;21:00:00;98.9642;241.6142
01/06/2005;22:00:00;98.9642;241.6201
01/06/2005;23:00:00;98.9642;241.6260
01/07/2005;00:00:00;98.9642;241.6320
01/07/2005;01:00:00;98.9642;118.3620
01/07/2005;02:00:00;98.9642;118.3561
01/07/2005;03:00:00;98.9642;118.3501
01/07/2005;04:00:00;98.9642;118.3440
01/07/2005;05:00:00;98.9642;118.3380
01/07/2005;06:00:00;87.2306;113.0495
01/07/2005;07:00:00;74.3418;108.3965
01/07/2005;08:00:00;60.9600;104.5864
01/07/2005;09:00:00;47.3458;101.4212
01/07/2005;10:00:00;33.5863;98.8725
01/07/2005;11:00:00;19.7433;97.3715
01/07/2005;12:00:00;5.9185;102.6312
01/07/2005;13:00:00;8.2064;260.1752
01/07/2005;14:00:00;22.0560;262.5580
01/07/2005;15:00:00;35.8917;260.7996
01/07/2005;16:00:00;49.6351;258.1416
01/07/2005;17:00:00;63.2229;254.8802
01/07/2005;18:00:00;76.5594;250.9522
01/07/2005;19:00:00;89.2188;246.1353
01/07/2005;20:00:00;98.9642;241.7541
01/07/2005;21:00:00;98.9642;241.7603
01/07/2005;22:00:00;98.9642;241.7666
01/07/2005;23:00:00;98.9642;241.7729
01/08/2005;00:00:00;98.9642;241.7792
01/08/2005;01:00:00;98.9642;118.2145
01/08/2005;02:00:00;98.9642;118.2082
01/08/2005;03:00:00;98.9642;118.2019
01/08/2005;04:00:00;98.9642;118.1955
01/08/2005;05:00:00;98.9642;118.1891
01/08/2005;06:00:00;87.3635;112.9649
01/08/2005;07:00:00;74.4740;108.2961
01/08/2005;08:00:00;61.0850;104.4645
01/08/2005;09:00:00;47.4633;101.2649
01/08/2005;10:00:00;33.6961;98.6507
01/08/2005;11:00:00;19.8435;96.9846
01/08/2005;12:00:00;5.9935;101.2127
01/08/2005;13:00:00;8.0944;261.0331
01/08/2005;14:00:00;21.9616;262.9208
01/08/2005;15:00:00;35.8074;261.0432
01/08/2005;16:00:00;49.5604;258.3361
01/08/2005;17:00:00;63.1585;255.0518
01/08/2005;18:00:00;76.5072;251.1145
01/08/2005;19:00:00;89.1854;246.2975
01/08/2005;20:00:00;98.9642;241.9081
01/08/2005;21:00:00;98.9642;241.9147
01/08/2005;22:00:00;98.9642;241.9213
01/08/2005;23:00:00;98.9642;241.9279
01/09/2005;00:00:00;98.9642;241.9346
01/09/2005;01:00:00;98.9642;118.0588
01/09/2005;02:00:00;98.9642;118.0521
01/09/2005;03:00:00;98.9642;118.0454
01/09/2005;04:00:00;98.9642;118.0387
