Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
01/01/2005;01:00;0;0;0;1;297.45;84.96;986.81;5.13;75.60;0.585691;0.000000;0.000000
01/01/2005;02:00;2;4;12;5;297.42;85.43;987.22;4.90;78.66;0.704591;0.000000;0.000000
01/01/2005;03:00;45;130;247;5;297.61;84.94;987.73;5.23;80.42;0.862791;0.000000;0.000000
01/01/2005;04:00;113;365;558;5;297.81;84.19;988.12;5.46;80.41;1.119979;0.000000;0.000000
01/01/2005;05:00;164;603;845;5;298.01;83.41;988.33;5.70;78.26;1.292357;0.000000;0.000000
01/01/2005;06:00;214;809;1087;2;298.22;82.57;988.39;5.79;74.34;1.319878;0.000000;0.000000
01/01/2005;07:00;330;965;1270;2;298.42;81.66;988.28;5.67;69.72;1.210001;0.000000;0.000000
01/01/2005;08:00;422;1060;1379;2;298.56;81.01;987.99;5.49;66.90;1.118606;0.000000;0.000000
01/01/2005;09:00;551;1086;1408;2;298.81;79.75;987.67;5.33;66.53;0.889032;0.000000;0.000000
01/01/2005;10:00;385;1040;1354;2;299.06;78.55;987.17;5.17;67.98;0.735968;0.000000;0.000000
01/01/2005;11:00;286;927;1222;2;299.18;78.14;986.71;5.14;70.32;0.587694;0.000000;0.000000
01/01/2005;12:00;317;756;1020;2;299.14;78.39;986.34;5.25;72.13;0.492853;0.000000;0.000000
01/01/2005;13:00;158;540;763;2;299.00;79.17;986.36;5.38;72.89;0.535967;0.000000;0.000000
01/01/2005;14:00;77;301;466;2;298.64;81.36;986.72;5.57;72.74;0.714736;0.000000;0.000000
01/01/2005;15:00;23;76;152;5;298.22;83.68;987.33;5.70;70.69;0.695298;0.000000;0.000000
01/01/2005;16:00;0;0;0;1;297.97;84.94;987.83;5.74;68.35;0.618238;0.000000;0.000000
01/01/2005;17:00;0;0;0;1;297.90;85.23;988.17;5.81;66.89;0.569144;0.000000;0.000000
01/01/2005;18:00;0;0;0;1;297.87;85.32;988.47;5.88;66.43;0.564092;0.000000;0.000000
01/01/2005;19:00;0;0;0;1;297.87;85.33;988.52;5.96;65.83;0.550204;0.000000;0.000000
01/01/2005;20:00;0;0;0;1;297.82;85.46;988.11;5.95;65.37;0.495193;0.000000;0.000000
01/01/2005;21:00;0;0;0;1;297.79;85.60;987.56;5.79;64.89;0.617295;0.000000;0.000000
01/01/2005;22:00;0;0;0;1;297.74;85.68;987.00;5.51;65.15;0.545552;0.000000;0.000000
01/01/2005;23:00;0;0;0;1;297.65;86.12;986.63;5.33;65.28;0.633782;0.000000;0.000000
01/01/2005;24:00:00;0;0;0;1;297.60;86.49;986.49;5.34;66.10;0.682164;0.000000;0.000000
02/01/2005;01:00;0;0;0;1;297.56;86.68;986.43;5.51;68.58;0.720527;0.000000;0.000000
02/01/2005;02:00;2;4;12;5;297.53;86.81;986.72;5.84;71.65;0.577375;0.000000;0.000000
02/01/2005;03:00;55;131;246;5;297.76;85.77;987.29;6.49;72.53;0.633734;0.000000;0.000000
02/01/2005;04:00;145;367;558;5;298.11;83.67;987.62;6.82;71.92;0.712631;0.000000;0.000000
