Date;Time;Zenith (refracted);Azimuth angle
01/01/2005;01:00:00;98.9642;119.1381
01/01/2005;02:00:00;98.9642;119.1342
01/01/2005;03:00:00;98.9642;119.1304
01/01/2005;04:00:00;98.9642;119.1265
01/01/2005;05:00:00;98.8545;119.0642
01/01/2005;06:00:00;86.1522;113.2950
01/01/2005;07:00:00;73.2560;108.7113
01/01/2005;08:00:00;59.9117;104.9828
01/01/2005;09:00:00;46.3378;101.9448
01/01/2005;10:00:00;32.6220;99.6461
01/01/2005;11:00:00;18.8327;98.8297
01/01/2005;12:00:00;5.1611;109.5875
01/01/2005;13:00:00;9.1388;257.8337
01/01/2005;14:00:00;22.9077;261.2422
01/01/2005;15:00:00;36.6848;259.8012
01/01/2005;16:00:00;50.3683;257.2599
01/01/2005;17:00:00;63.8887;254.0276
01/01/2005;18:00:00;77.1438;250.0743
01/01/2005;19:00:00;89.6411;245.1871
01/01/2005;20:00:00;98.9642;240.9377
01/01/2005;21:00:00;98.9642;240.9418
01/01/2005;22:00:00;98.9642;240.9460
01/01/2005;23:00:00;98.9642;240.9502
02/01/2005;00:00:00;98.9642;240.9543
02/01/2005;01:00:00;98.9642;119.0414
02/01/2005;02:00:00;98.9642;119.0372
02/01/2005;03:00:00;98.9642;119.0330
02/01/2005;04:00:00;98.9642;119.0287
02/01/2005;05:00:00;98.9642;119.0245
02/01/2005;06:00:00;86.2793;113.2550
02/01/2005;07:00:00;73.3837;108.6572
02/01/2005;08:00:00;60.0354;104.9115
02/01/2005;09:00:00;46.4570;101.8472
02/01/2005;10:00:00;32.7358;99.4993
02/01/2005;11:00:00;18.9390;98.5537
02/01/2005;12:00:00;5.2387;108.3136
02/01/2005;13:00:00;9.0195;258.2883
02/01/2005;14:00:00;22.8013;261.4738
02/01/2005;15:00:00;36.5859;259.9662
02/01/2005;16:00:00;50.2767;257.3969
02/01/2005;17:00:00;63.8051;254.1524
02/01/2005;18:00:00;77.0698;250.1959
02/01/2005;19:00:00;89.5875;245.3123
02/01/2005;20:00:00;98.9642;241.0412
02/01/2005;21:00:00;98.9642;241.0457
02/01/2005;22:00:00;98.9642;241.0502
02/01/2005;23:00:00;98.9642;241.0548
03/01/2005;00:00:00;98.9642;241.0593
03/01/2005;01:00:00;98.9642;118.9361
03/01/2005;02:00:00;98.9642;118.9315
03/01/2005;03:00:00;98.9642;118.9269
03/01/2005;04:00:00;98.9642;118.9223
03/01/2005;05:00:00;98.9642;118.9177
03/01/2005;06:00:00;86.4079;113.2075
03/01/2005;07:00:00;73.5125;108.5953
03/01/2005;08:00:00;60.1596;104.8315
03/01/2005;09:00:00;46.5761;101.7395
03/01/2005;10:00:00;32.8492;99.3394
03/01/2005;11:00:00;19.0445;98.2577
03/01/2005;12:00:00;5.3155;107.0025
03/01/2005;13:00:00;8.9010;258.8041
03/01/2005;14:00:00;22.6966;261.7268
03/01/2005;15:00:00;36.4893;260.1444
03/01/2005;16:00:00;50.1878;257.5436
03/01/2005;17:00:00;63.7246;254.2852
03/01/2005;18:00:00;76.9992;250.3245
03/01/2005;19:00:00;89.5371;245.4440
03/01/2005;20:00:00;98.9642;241.1534
03/01/2005;21:00:00;98.9642;241.1583
03/01/2005;22:00:00;98.9642;241.1631
03/01/2005;23:00:00;98.9642;241.1680
04/01/2005;00:00:00;98.9642;241.1729
04/01/2005;01:00:00;98.9642;118.8221
04/01/2005;02:00:00;98.9642;118.8172
04/01/2005;03:00:00;98.9642;118.8123
04/01/2005;04:00:00;98.9642;118.8073
04/01/2005;05:00:00;98.9642;118.8023
04/01/2005;06:00:00;86.5378;113.1525
04/01/2005;07:00:00;73.6422;108.5257
04/01/2005;08:00:00;60.2842;104.7431
04/01/2005;09:00:00;46.6951;101.6219
04/01/2005;10:00:00;32.9620;99.1666
04/01/2005;11:00:00;19.1490;97.9421
04/01/2005;12:00:00;5.3920;105.6556
04/01/2005;13:00:00;8.7837;259.3832
04/01/2005;14:00:00;22.5937;262.0013
04/01/2005;15:00:00;36.3950;260.3356
04/01/2005;16:00:00;50.1016;257.7000
04/01/2005;17:00:00;63.6472;254.4259
04/01/2005;18:00:00;76.9323;250.4601
04/01/2005;19:00:00;89.4901;245.5820
04/01/2005;20:00:00;98.9642;241.2742
04/01/2005;21:00:00;98.9642;241.2794
04/01/2005;22:00:00;98.9642;241.2846
04/01/2005;23:00:00;98.9642;241.2899
05/01/2005;00:00:00;98.9642;241.2951
05/01/2005;01:00:00;98.9642;118.6996
05/01/2005;02:00:00;98.9642;118.6943
05/01/2005;03:00:00;98.9642;118.6890
05/01/2005;04:00:00;98.9642;118.6837
05/01/2005;05:00:00;98.9642;118.6784
05/01/2005;06:00:00;86.6688;113.0902
05/01/2005;07:00:00;73.7727;108.4483
05/01/2005;08:00:00;60.4091;104.6461
05/01/2005;09:00:00;46.8139;101.4943
05/01/2005;10:00:00;33.0743;98.9811
05/01/2005;11:00:00;19.2527;97.6072
05/01/2005;12:00:00;5.4684;104.2740
05/01/2005;13:00:00;8.6678;260.0278
05/01/2005;14:00:00;22.4930;262.2976
05/01/2005;15:00:00;36.3032;260.5399
05/01/2005;16:00:00;50.0182;257.8660
05/01/2005;17:00:00;63.5730;254.5744
05/01/2005;18:00:00;76.8691;250.6024
05/01/2005;19:00:00;89.4466;245.7261
05/01/2005;20:00:00;98.9642;241.4034
05/01/2005;21:00:00;98.9642;241.4090
05/01/2005;22:00:00;98.9642;241.4146
05/01/2005;23:00:00;98.9642;241.4202
06/01/2005;00:00:00;98.9642;241.4258
06/01/2005;01:00:00;98.9642;118.5686
06/01/2005;02:00:00;98.9642;118.5630
06/01/2005;03:00:00;98.9642;118.5573
06/01/2005;04:00:00;98.9642;118.5516
06/01/2005;05:00:00;98.9642;118.5459
06/01/2005;06:00:00;86.8008;113.0204
06/01/2005;07:00:00;73.9039;108.3632
06/01/2005;08:00:00;60.5341;104.5408
06/01/2005;09:00:00;46.9325;101.3569
06/01/2005;10:00:00;33.1859;98.7831
06/01/2005;11:00:00;19.3555;97.2536
06/01/2005;12:00:00;5.5450;102.8590
06/01/2005;13:00:00;8.5538;260.7399
06/01/2005;14:00:00;22.3946;262.6155
06/01/2005;15:00:00;36.2140;260.7573
06/01/2005;16:00:00;49.9378;258.0415
06/01/2005;17:00:00;63.5024;254.7307
06/01/2005;18:00:00;76.8097;250.7516
06/01/2005;19:00:00;89.4068;245.8765
06/01/2005;20:00:00;98.9642;241.5411
06/01/2005;21:00:00;98.9642;241.5470
06/01/2005;22:00:00;98.9642;241.5529
06/01/2005;23:00:00;98.9642;241.5589
07/01/2005;00:00:00;98.9642;241.5648
07/01/2005;01:00:00;98.9642;118.4292
07/01/2005;02:00:00;98.9642;118.4232
07/01/2005;03:00:00;98.9642;118.4172
07/01/2005;04:00:00;98.9642;118.4111
07/01/2005;05:00:00;98.9642;118.4051
07/01/2005;06:00:00;86.9338;112.9433
07/01/2005;07:00:00;74.0358;108.2704
07/01/2005;08:00:00;60.6592;104.4271
07/01/2005;09:00:00;47.0508;101.2099
07/01/2005;10:00:00;33.2969;98.5727
07/01/2005;11:00:00;19.4575;96.8815
07/01/2005;12:00:00;5.6221;101.4126
07/01/2005;13:00:00;8.4422;261.5215
07/01/2005;14:00:00;22.2987;262.9552
07/01/2005;15:00:00;36.1276;260.9875
07/01/2005;16:00:00;49.8606;258.2265
07/01/2005;17:00:00;63.4351;254.8947
07/01/2005;18:00:00;76.7542;250.9074
07/01/2005;19:00:00;89.3706;246.0329
07/01/2005;20:00:00;98.9642;241.6871
07/01/2005;21:00:00;98.9642;241.6934
07/01/2005;22:00:00;98.9642;241.6997
07/01/2005;23:00:00;98.9642;241.7060
08/01/2005;00:00:00;98.9642;241.7123
08/01/2005;01:00:00;98.9642;118.2814
08/01/2005;02:00:00;98.9642;118.2750
